Timestamp,Tweet Content
2018-07-02T20:08:30.000Z,"Trump risks $294bn trade tariff reprisals, EU warns http://news.sky.com/story/trump-risks-163294bn-trade-tariff-reprisals-eu-11423620…"
2018-07-02T19:34:05.000Z,‘There is a thunderstorm coming from the West’: German business reacts to tariff threat https://buff.ly/2tWw4K8
2018-07-02T20:14:37.000Z,If we don't get the damn wall Trump will deservedly lose the next election. I am tired of the dumb excuses. Tariff issue could have waited a while longer.
2018-07-02T21:02:11.000Z,"⁦
@RepJimRenacci
⁩ OH GOP Candidate backs ⁦
@realDonaldTrump
⁩ & Tariff plan
Opponent dem Sher Brown has voted NO on all bills he suffers #LiberalismIsAMentalDisorder   
Ohio #VoteRenacci
#VoteRed2018 #MAGA #KAG2020 #WalkAway http://dispatch.com/news/20180702/jim-renacci-sherrod-brown-trade-barbs-on-tariffs…"
2018-07-02T19:24:25.000Z,"1 in 2 Americans is unaware of tariff retaliation, despite Canada, Mexico, the EU and China all doing so 
@RIWIdata"
2018-07-02T18:18:02.000Z,"Tonight I’ll be on 
@EveningEdit
  w/
@LizMacDonaldFOX
 on 
@FoxBusiness
 at 5pm discussing the Tariff’s imposed by Justin from Canada."
2018-07-02T23:58:44.000Z,Welcome Japan!! https://ask.audio/articles/moog-warns-trump-tariff-threat-on-us-synthesizer-manufacturing…
2018-07-02T19:38:59.000Z,"The acronym is ‘FART’  & Signals @DonldTrump’s Intention to disrupt World Trade.
@Heightllc
's James Wise, a http://GisermanGroup.com client analyses the 'Fair And Reciprocal Tariff' act for 
@Bloomberg
 Radio
https://youtube.com/watch?v=t9boY0sS18Q…"
2018-07-02T23:35:14.000Z,German business reacts to tariff threat - http://latestcommentary.com/german-business-reacts-to-tariff-threat/… #LatestComments
2018-07-02T19:15:13.000Z,"BMW, Ford and Tesla brace for ‘nightmare’ tariff whiplash  http://ow.ly/jsPk30kLB7x"
2018-07-02T23:31:56.000Z,"""Fair And Reciprocal Tariff"". Great acronym, POTUS. Guess the MAGA bunch never taught 8th grade."
2018-07-02T21:21:27.000Z,"It’s important to properly classify, get appropriate advice, and be prepared to defend your #tariff classification in a court of law, even if the court decides against you. Thanks 
@customslawblog"
2018-07-02T22:30:37.000Z,"Wall Street ends higher, helped by tech rally https://reut.rs/2NlyACr"
2018-07-02T21:22:55.000Z,"The #tariff battle could impact #Colorado hard - including our sleeping bag industry!  I'll explain on #Denver7 at 5. 
@DenverChannel"
2018-07-02T21:30:00.000Z,"It has been called a #trade spat, a trade dispute, a trade confrontation, a looming trade war and even a trade bluff. On Friday, unless there is some type of deal between Washington and Beijing, the rhetoric will become reality: a trade war. #tariff"
2018-07-02T20:45:00.000Z,"China on Sunday introduced huge new #tariff cuts covering consumer goods and #automobiles, to help increase imports."
2018-07-02T20:03:38.000Z,"There's a tariff on ketchup because of Trump's trade policy.

We gotta impeach this guy."
2018-07-02T19:12:16.000Z,Dealers await fallout from import tariff http://bit.ly/2Ku4Zcc
2018-07-02T21:30:00.000Z,"#Ford, #BMW, #Tesla, others brace for #China tariff whiplash http://ow.ly/oz9P30kLNvX"
2018-07-02T19:21:04.000Z,"All new cars sold in the United States will cost more — to build and probably to buy — if the Trump administration imposes an auto tariff, because every car sold in America is at least partly imported https://cnn.it/2z6bEUM"
2018-07-02T20:56:34.000Z,"Ford, BMW, Tesla, others brace for China tariff whiplash http://autonews.com/article/20180702/COPY01/307029942/… via 
@Automotive_News"
2018-07-02T19:00:32.000Z,Missouri approves 100% renewable tariff for Ameren's large customers http://ow.ly/aY6o30kLkqm
2018-07-02T23:43:08.000Z,"ICYMI: Ford, BMW, Tesla, others brace for China tariff whiplash, Trump trade war: For Ford, BMW, Tesla and many other global automakers, any gains from China’s lower import tariffs, which were almost halved on Sunday, will likely be short-lived. http://dlvr.it/QZDwFm"
2018-07-02T21:55:05.000Z,"The Canadian retaliatory tariffs went into effect yesterday, July 1
http://flare.com/news/donald-trump-tariff/…"
2018-07-02T20:02:06.000Z,President Trump targets auto manufacturing with new tariffs https://on.msnbc.com/2MHCV21
2018-07-02T23:07:29.000Z,"川普：不会就关税对华妥协 专家：关税本身就是谈判
川普总统7月1日在接受福克斯电视的采访时表示，中国希望与美国达成交易。
他说：“坦率的说，如果我们不达成交易，关税事实上可以增加到5千亿美元。”

https://voachinese.com/a/tariff-20180702/4463941.html…"
2018-07-02T22:13:00.000Z,Goal: Free trade. I believe DJT approach has potential to reduce tariff & other abuse by US trading partners. If he improves free trade we all win. Must see how it plays out. I understand risks are high. PS: Risk is always huge political obstacle to tackling big problems. #arpx https://x.com/ibluckyjoe/status/1013901876037931008…
2018-07-02T19:56:21.000Z," Russia, Japan Warn US of $1 Billion in Trump Tariff Retaliation

https://hedgeaccordingly.com/2018/05/russia-japan-warn-us-of-1-billion-in-trump-tariff-retaliation/… 

#Politics Article Published on May 22, 2018@7:19am"
2018-07-02T18:08:49.000Z,"Wall Street lower as energy stocks, tariff worries weigh #wallst #finance http://tinyurl.com/y87sce2c"
2018-07-02T20:45:12.000Z,"Wall Street lower as energy stocks, tariff worries weigh - http://exactoptionpicks.com/feed-items/wall-street-lower-as-energy-stocks-tariff-worries-weigh/…"
2018-07-02T19:49:40.000Z,"""Tickets for all Nashua residents are free and for fans out of town, the cost is $10.""

Tariff war on! 
@NSNavigators
 should modify our signature $1 hot dog every day: Make it $2 for residents of Nashua! https://x.com/SilverKnightsNH/status/1013861636921331713…"
2018-07-02T19:23:19.000Z,International Trade: Tariff Escalations Cloud Outlook https://ift.tt/2ILaa1G
2018-07-02T21:21:07.000Z,Heinz scrambles for Canadian love after its ketchup takes another hit in tariff war | CBC News http://cbc.ca/news/business/heinz-french-s-ketchup-trade-war-tariffs-1.4728691…
2018-07-02T22:05:23.000Z,"[Trump] said the U.S. would continue meeting with the EU about the trade [tariff] issue, saying, “If we do work it out, that will be positive, and if we don’t, it will be positive also.”  "
2018-07-02T21:31:54.000Z,Trump's new tariff bill could be called the 'FART Act' and everyone is saying the inevitable https://indy100.com/article/trump-fart-act-wto-trade-war-steel-tariffs-acronyms-8427206…
2018-07-02T21:06:02.000Z,Car prices would soar under Trump's latest tariff plan https://finance.yahoo.com/news/car-prices-soar-trumps-latest-tariff-plan-192223377.html…
2018-07-02T23:41:22.000Z,"One of my uncles is very specific in his taste for ketchup. My nana tried to disguise Libby’s ketchup in a Heinz bottle once and it didn’t go over well at all. Will he pay the additional tariff on Heinz ketchup? 
@BrettHargreave1
 What do you think your dad will do?"
2018-07-02T21:00:07.000Z,"General Motors recently told the commerce department, ""tariffs the administration has proposed for auto imports would raise its costs and eventually lead to higher prices for consumers.""    https://on.msnbc.com/2tOCaNi"
2018-07-02T21:38:00.000Z,"Farming subsidies? Freedom to work abroad? Protected freedoms and workers’ rights? Free healthcare abroad? Reciprocal education arrangements? Tariff free trade? Can’t think where you’d find all those things. Brexit is pure, nasty, stupid, self-serving, mendacious, hypocrisy."
2018-07-02T19:46:56.000Z,"Trump’s Bill To Pull America Out of the WTO is called ... the ‘U.S. FART Act’ http://nymag.com/daily/intelligencer/2018/07/trumps-u-s-fart-act-would-pull-america-out-of-the-wto-united-states-fair-and-reciprocal-tariff-act.html… No, this is not a joke. Or 
@TheOnion
. They called it the U.S. Fair and Reciprocal Tariff Act. You can't make this stuff up, folks. #incompetence #swamp #facepalm"
2018-07-02T20:34:47.000Z,"The most ""American"" cars - both Hondas, btw - still have 25% imported content. Most have a lot more. The cost of a new ""American"" car with 35% imported parts would increase by $2,000 with Trump's threatened 25% tariff on parts: https://money.cnn.com/2018/07/02/news/companies/auto-tariffs/index.html… via 
@CNNMoney"
2018-07-02T20:08:21.000Z,http://newsatw.com EU: Trump risks $294bn trade tariff reprisals: The European Union has warned… https://goo.gl/fb/92jEka
2018-07-02T23:09:12.000Z,"Under Section 301 Action, USTR Releases Proposed Tariff List on Chinese Products https://ibselectronics.wordpress.com/2018/07/02/under-section-301-action-ustr-releases-proposed-tariff-list-on-chinese-products/…"
2018-07-02T21:22:21.000Z," Chinese Warn Of “Immediate” Retaliation As Trump Readies $50 Billion Tariff Package

https://hedgeaccordingly.com/2018/06/chinese-warn-of-immediate-retaliation-as-trump-readies-50-billion-tariff-package/… 

#Politics Article Published on June 14, 2018@7:55pm"
2018-07-02T23:47:02.000Z,'It stinks': Twitter gets wind of oddly named Trump tariff bill draft || Via Guardian https://theguardian.com/us-news/2018/jul/02/trump-fart-act-report-blows-through-washington?CMP=share_btn_tw…
2018-07-02T20:26:29.000Z,"Trump will ultimately hurt American car manufacturers with tariff plan, EU says || Via Independent https://independent.co.uk/news/world/europe/trump-eu-tariffs-eu-car-us-trade-war-imports-exports-steel-aluminum-a8426506.html…"
